,game_id,ydsnet,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,third_down_converted,third_down_failed,interception,fourth_down_converted,fourth_down_converted,complete_pass,rush_attempt,pass_attempt,rush_touchdown,pass_touchdown,completion_perc,third_down_perc,team,game_date,type,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,win,team_score
0,2012090500,2298,433,253.0,107.0,5.0,12.0,4.0,6.0,1.0,0.0,0.0,22.0,26.0,31.0,0.0,3.0,0.7096774193548387,0.0009507962918944616,DAL,2012-09-05,reg,NYG,DAL,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090500/2012090500_gtd.json,17,24,1,24
1,2012090500,1889,269,283.0,76.0,3.0,11.0,4.0,8.0,0.0,2.0,2.0,21.0,19.0,35.0,1.0,1.0,0.6,0.0009507962918944616,NYG,2012-09-05,reg,NYG,DAL,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090500/2012090500_gtd.json,17,24,0,17
2,2012090900,2565,428,400.0,97.0,8.0,15.0,4.0,8.0,1.0,0.0,0.0,21.0,33.0,37.0,3.0,2.0,0.5675675675675675,0.0009507962918944616,CHI,2012-09-09,reg,CHI,IND,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090900/2012090900_gtd.json,41,21,1,41
3,2012090900,2115,356,418.0,92.0,4.0,16.0,2.0,8.0,3.0,2.0,2.0,23.0,15.0,48.0,1.0,1.0,0.4791666666666667,0.0004756242568370987,IND,2012-09-09,reg,CHI,IND,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090900/2012090900_gtd.json,41,21,0,21
4,2012090901,2546,364,267.0,96.0,7.0,12.0,9.0,9.0,0.0,1.0,1.0,23.0,34.0,42.0,0.0,2.0,0.5476190476190477,0.002136752136752137,JAC,2012-09-09,reg,MIN,JAC,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090901/2012090901_gtd.json,26,23,0,23
5,2012090901,2332,389,193.0,148.0,6.0,14.0,2.0,8.0,0.0,0.0,0.0,20.0,29.0,29.0,2.0,0.0,0.6896551724137931,0.0004756242568370987,MIN,2012-09-09,reg,MIN,JAC,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090901/2012090901_gtd.json,26,23,1,26
6,2012090902,1935,390,306.0,62.0,6.0,13.0,6.0,3.0,3.0,1.0,1.0,18.0,26.0,32.0,1.0,3.0,0.5625,0.0014255167498218105,BUF,2012-09-09,reg,NYJ,BUF,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090902/2012090902_gtd.json,48,28,0,28
7,2012090902,2587,384,267.0,78.0,5.0,15.0,10.0,4.0,1.0,0.0,0.0,19.0,36.0,27.0,1.0,3.0,0.7037037037037037,0.0023736055067647755,NYJ,2012-09-09,reg,NYJ,BUF,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090902/2012090902_gtd.json,48,28,1,48
8,2012090903,2367,337,271.0,95.0,3.0,15.0,7.0,10.0,0.0,0.0,0.0,20.0,35.0,33.0,2.0,1.0,0.6060606060606061,0.00166270783847981,HOU,2012-09-09,reg,HOU,MIA,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090903/2012090903_gtd.json,30,10,1,30
9,2012090903,1631,275,185.0,117.0,6.0,7.0,2.0,8.0,3.0,0.0,0.0,20.0,19.0,39.0,0.0,0.0,0.5128205128205128,0.0004756242568370987,MIA,2012-09-09,reg,HOU,MIA,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090903/2012090903_gtd.json,30,10,0,10
10,2012090904,2758,390,261.0,97.0,13.0,12.0,6.0,6.0,0.0,0.0,0.0,23.0,35.0,32.0,1.0,2.0,0.71875,0.0014255167498218105,NE,2012-09-09,reg,TEN,NE,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090904/2012090904_gtd.json,13,34,1,34
11,2012090904,2060,284,299.0,133.0,1.0,13.0,5.0,9.0,1.0,1.0,1.0,29.0,16.0,45.0,0.0,1.0,0.6444444444444445,0.001188212927756654,TEN,2012-09-09,reg,TEN,NE,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090904/2012090904_gtd.json,13,34,0,13
12,2012090905,2806,429,382.0,142.0,5.0,23.0,4.0,5.0,3.0,0.0,0.0,32.0,18.0,49.0,2.0,1.0,0.6530612244897959,0.0009507962918944616,DET,2012-09-09,reg,DET,STL,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090905/2012090905_gtd.json,27,23,1,27
13,2012090905,1322,251,259.0,88.0,4.0,10.0,4.0,8.0,0.0,0.0,0.0,17.0,27.0,28.0,0.0,1.0,0.6071428571428571,0.0009507962918944616,STL,2012-09-09,reg,DET,STL,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090905/2012090905_gtd.json,27,23,0,23
14,2012090906,2527,360,427.0,94.0,2.0,17.0,2.0,9.0,2.0,2.0,2.0,24.0,11.0,54.0,0.0,3.0,0.4444444444444444,0.0004756242568370987,NO,2012-09-09,reg,NO,WAS,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090906/2012090906_gtd.json,32,40,0,32
15,2012090906,2733,464,151.0,202.0,7.0,13.0,4.0,11.0,0.0,1.0,1.0,19.0,44.0,27.0,2.0,2.0,0.7037037037037037,0.0009507962918944616,WAS,2012-09-09,reg,NO,WAS,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090906/2012090906_gtd.json,32,40,1,40
16,2012090907,1062,210,274.0,92.0,3.0,7.0,2.0,11.0,4.0,0.0,0.0,12.0,22.0,37.0,0.0,0.0,0.32432432432432434,0.0004756242568370987,CLE,2012-09-09,reg,CLE,PHI,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090907/2012090907_gtd.json,16,17,0,16
17,2012090907,2726,456,558.0,105.0,10.0,14.0,8.0,11.0,4.0,1.0,1.0,29.0,30.0,58.0,0.0,2.0,0.5,0.00189978627404417,PHI,2012-09-09,reg,CLE,PHI,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090907/2012090907_gtd.json,16,17,1,17
18,2012090908,2419,376,242.0,134.0,4.0,17.0,5.0,5.0,0.0,0.0,0.0,23.0,23.0,32.0,1.0,3.0,0.71875,0.001188212927756654,ATL,2012-09-09,reg,KC,ATL,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090908/2012090908_gtd.json,24,40,1,40
19,2012090908,2539,393,259.0,66.0,9.0,13.0,11.0,5.0,2.0,0.0,0.0,21.0,33.0,36.0,2.0,1.0,0.5833333333333334,0.0026103464641670624,KC,2012-09-09,reg,KC,ATL,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090908/2012090908_gtd.json,24,40,0,24
20,2012090909,2249,324,347.0,153.0,2.0,16.0,6.0,7.0,1.0,0.0,0.0,30.0,14.0,47.0,0.0,2.0,0.6382978723404256,0.0014255167498218105,GB,2012-09-09,reg,GB,SF,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090909/2012090909_gtd.json,22,30,0,22
21,2012090909,2856,377,184.0,93.0,6.0,13.0,2.0,7.0,0.0,0.0,0.0,20.0,32.0,30.0,1.0,2.0,0.6666666666666666,0.0004756242568370987,SF,2012-09-09,reg,GB,SF,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090909/2012090909_gtd.json,22,30,1,30
22,2012090910,2259,253,266.0,74.0,2.0,13.0,3.0,7.0,1.0,0.0,0.0,20.0,20.0,37.0,1.0,1.0,0.5405405405405406,0.0007132667617689016,ARI,2012-09-09,reg,ARI,SEA,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090910/2012090910_gtd.json,20,16,1,20
23,2012090910,2266,254,305.0,38.0,5.0,9.0,5.0,11.0,1.0,0.0,0.0,18.0,33.0,37.0,0.0,1.0,0.4864864864864865,0.001188212927756654,SEA,2012-09-09,reg,ARI,SEA,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090910/2012090910_gtd.json,20,16,0,16
24,2012090911,1776,301,379.0,97.0,1.0,14.0,2.0,8.0,2.0,0.0,0.0,23.0,13.0,36.0,0.0,1.0,0.6388888888888888,0.0004756242568370987,CAR,2012-09-09,reg,TB,CAR,1,2012,POST,http://www.nfl.com/liveupdate/game-center/2012090911/2012090911_gtd.json,16,10,0,10
