,game_id,ydsnet,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,third_down_converted,third_down_failed,interception,fourth_down_converted,fourth_down_converted,complete_pass,rush_attempt,pass_attempt,rush_touchdown,pass_touchdown,completion_perc,third_down_perc,team,game_date,type,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,win,team_score
0,2013090500,2753,393.0,508.0,202.0,3.0,18.0,8.0,14.0,2.0,0.0,0.0,34.0,21.0,66.0,1.0,2.0,0.5151515151515151,0.0018578727357176034,BAL,2013-09-05,reg,DEN,BAL,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090500/2013090500_gtd.json,49,27,0,27
1,2013090500,2105,510.0,340.0,268.0,2.0,20.0,8.0,7.0,0.0,0.0,0.0,27.0,23.0,45.0,0.0,7.0,0.6,0.0018578727357176034,DEN,2013-09-05,reg,DEN,BAL,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090500/2013090500_gtd.json,49,27,1,49
2,2013090800,1474,286.0,194.0,72.0,7.0,6.0,4.0,9.0,0.0,0.0,0.0,18.0,34.0,27.0,0.0,2.0,0.6666666666666666,0.0009298000929800093,BUF,2013-09-08,reg,BUF,NE,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090800/2013090800_gtd.json,21,23,0,21
3,2013090800,3236,431.0,384.0,111.0,7.0,18.0,11.0,9.0,1.0,0.0,0.0,29.0,35.0,54.0,0.0,2.0,0.5370370370370371,0.0025527964724994198,NE,2013-09-08,reg,BUF,NE,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090800/2013090800_gtd.json,21,23,1,23
4,2013090801,1793,243.0,152.0,33.0,5.0,8.0,5.0,6.0,0.0,0.0,0.0,16.0,25.0,24.0,0.0,1.0,0.6666666666666666,0.0011619800139437602,CAR,2013-09-08,reg,CAR,SEA,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090801/2013090801_gtd.json,7,12,0,7
5,2013090801,2381,370.0,286.0,104.0,4.0,13.0,6.0,7.0,0.0,0.0,0.0,25.0,26.0,36.0,0.0,1.0,0.6944444444444444,0.0013940520446096654,SEA,2013-09-08,reg,CAR,SEA,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090801/2013090801_gtd.json,7,12,1,12
6,2013090802,2148,323.0,231.0,68.0,4.0,12.0,6.0,8.0,1.0,1.0,1.0,21.0,28.0,33.0,1.0,2.0,0.6363636363636364,0.0013940520446096654,CHI,2013-09-08,reg,CHI,CIN,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090802/2013090802_gtd.json,24,21,1,24
7,2013090802,2208,340.0,232.0,91.0,5.0,12.0,7.0,4.0,2.0,0.0,0.0,26.0,21.0,34.0,1.0,2.0,0.7647058823529411,0.0016260162601626016,CIN,2013-09-08,reg,CHI,CIN,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090802/2013090802_gtd.json,24,21,0,21
8,2013090803,2744,291.0,375.0,118.0,2.0,15.0,1.0,13.0,3.0,2.0,2.0,26.0,13.0,59.0,0.0,1.0,0.4406779661016949,0.00023261223540358222,CLE,2013-09-08,reg,CLE,MIA,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090803/2013090803_gtd.json,10,23,0,10
9,2013090803,1859,275.0,353.0,126.0,1.0,15.0,8.0,8.0,1.0,0.0,0.0,24.0,23.0,42.0,1.0,1.0,0.5714285714285714,0.0018578727357176034,MIA,2013-09-08,reg,CLE,MIA,1,2013,POST,http://www.nfl.com/liveupdate/game-center/2013090803/2013090803_gtd.json,10,23,1,23
