,game_id,ydsnet,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,third_down_converted,third_down_failed,interception,fourth_down_converted,fourth_down_converted,complete_pass,rush_attempt,pass_attempt,rush_touchdown,pass_touchdown,completion_perc,third_down_perc,team,game_date,type,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,win,team_score
0,2013010500,1272,198,331.0,39.0,5.0,5.0,0.0,9.0,1.0,1.0,1.0,14.0,16.0,32.0,0.0,0.0,0.4375,0.0,CIN,2013-01-05,post,HOU,CIN,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010500/2013010500_gtd.json,19,13,0,13
1,2013010500,2902,420,180.0,120.0,8.0,13.0,8.0,9.0,1.0,0.0,0.0,29.0,39.0,38.0,1.0,0.0,0.7631578947368421,0.04371584699453552,HOU,2013-01-05,post,HOU,CIN,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010500/2013010500_gtd.json,19,13,1,19
2,2013010501,2296,326,244.0,164.0,2.0,16.0,3.0,11.0,0.0,1.0,1.0,23.0,31.0,36.0,2.0,1.0,0.6388888888888888,0.016853932584269662,GB,2013-01-05,post,GB,MIN,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010501/2013010501_gtd.json,24,10,1,24
3,2013010501,1503,324,387.0,59.0,11.0,6.0,5.0,9.0,1.0,0.0,0.0,11.0,29.0,33.0,0.0,1.0,0.3333333333333333,0.027777777777777776,MIN,2013-01-05,post,GB,MIN,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010501/2013010501_gtd.json,24,10,0,10
4,2013010600,1978,441,269.0,98.0,6.0,11.0,4.0,6.0,0.0,0.0,0.0,12.0,32.0,24.0,1.0,2.0,0.5,0.0223463687150838,BAL,2013-01-06,post,BAL,IND,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010600/2013010600_gtd.json,24,9,1,24
5,2013010600,3263,419,479.0,109.0,6.0,16.0,9.0,11.0,1.0,0.0,0.0,28.0,30.0,57.0,0.0,0.0,0.49122807017543857,0.04891304347826087,IND,2013-01-06,post,BAL,IND,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010600/2013010600_gtd.json,24,9,0,9
6,2013010601,2950,382,248.0,98.0,12.0,9.0,5.0,8.0,0.0,1.0,1.0,15.0,37.0,32.0,1.0,1.0,0.46875,0.027777777777777776,SEA,2013-01-06,post,WAS,SEA,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010601/2013010601_gtd.json,14,24,1,24
7,2013010601,1473,203,249.0,54.0,5.0,9.0,5.0,6.0,1.0,0.0,0.0,13.0,23.0,31.0,0.0,2.0,0.41935483870967744,0.027777777777777776,WAS,2013-01-06,post,WAS,SEA,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013010601/2013010601_gtd.json,14,24,0,14
8,2013011200,2344,479,506.0,66.0,4.0,14.0,7.0,10.0,0.0,0.0,0.0,18.0,39.0,35.0,1.0,3.0,0.5142857142857142,0.038461538461538464,BAL,2013-01-12,post,DEN,BAL,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013011200/2013011200_gtd.json,35,38,1,38
9,2013011200,2741,398,296.0,111.0,9.0,15.0,7.0,9.0,2.0,1.0,1.0,28.0,41.0,46.0,0.0,3.0,0.6086956521739131,0.038461538461538464,DEN,2013-01-12,post,DEN,BAL,18,2012,POST,http://www.nfl.com/liveupdate/game-center/2013011200/2013011200_gtd.json,35,38,0,35
