,game_id,ydsnet,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,third_down_converted,third_down_failed,interception,fourth_down_converted,fourth_down_converted,complete_pass,rush_attempt,pass_attempt,rush_touchdown,pass_touchdown,completion_perc,third_down_perc,team,game_date,type,home_team,away_team,week,season,state_of_game,game_url,home_score,away_score,win,team_score
0,2017090700,3029,537,260.0,201.0,8.0,17.0,4.0,7.0,0.0,0.0,0.0,28.0,27.0,38.0,2.0,4.0,0.7368421052631579,0.0009467455621301775,KC,2017-09-07,reg,NE,KC,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017090700/2017090700_gtd.json,27,42,1,42
1,2017090700,2993,371,567.0,112.0,10.0,11.0,5.0,10.0,0.0,0.0,0.0,16.0,35.0,39.0,3.0,0.0,0.41025641025641024,0.001183151916706105,NE,2017-09-07,reg,NE,KC,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017090700/2017090700_gtd.json,27,42,0,27
2,2017091000,2963,408,193.0,140.0,10.0,11.0,8.0,9.0,1.0,0.0,0.0,16.0,42.0,30.0,1.0,2.0,0.5333333333333333,0.0018917001655237645,BUF,2017-09-10,reg,BUF,NYJ,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091000/2017091000_gtd.json,21,12,1,21
3,2017091000,1364,214,207.0,98.0,2.0,8.0,4.0,10.0,2.0,1.0,1.0,26.0,15.0,41.0,1.0,0.0,0.6341463414634146,0.0009467455621301775,NYJ,2017-09-10,reg,BUF,NYJ,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091000/2017091000_gtd.json,21,12,0,12
4,2017091001,2604,372,216.0,158.0,4.0,12.0,5.0,6.0,0.0,0.0,0.0,21.0,23.0,32.0,1.0,1.0,0.65625,0.001183151916706105,ATL,2017-09-10,reg,CHI,ATL,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091001/2017091001_gtd.json,17,23,1,23
5,2017091001,2564,301,168.0,109.0,6.0,11.0,5.0,8.0,0.0,1.0,1.0,26.0,19.0,44.0,1.0,1.0,0.5909090909090909,0.001183151916706105,CHI,2017-09-10,reg,CHI,ATL,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091001/2017091001_gtd.json,17,23,0,17
6,2017091002,2241,268,89.0,90.0,8.0,5.0,6.0,8.0,1.0,0.0,0.0,9.0,42.0,18.0,1.0,1.0,0.5,0.0014194464158978,BAL,2017-09-10,reg,CIN,BAL,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091002/2017091002_gtd.json,0,20,1,20
7,2017091002,1368,221,232.0,108.0,3.0,8.0,4.0,9.0,4.0,0.0,0.0,16.0,22.0,36.0,0.0,0.0,0.4444444444444444,0.0009467455621301775,CIN,2017-09-10,reg,CIN,BAL,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091002/2017091002_gtd.json,0,20,0,0
8,2017091003,1968,239,351.0,94.0,3.0,12.0,3.0,9.0,1.0,2.0,2.0,20.0,26.0,37.0,1.0,1.0,0.5405405405405406,0.0007102272727272727,CLE,2017-09-10,reg,CLE,PIT,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091003/2017091003_gtd.json,18,21,0,18
9,2017091003,1860,290,228.0,149.0,1.0,13.0,5.0,8.0,1.0,0.0,0.0,24.0,17.0,37.0,0.0,2.0,0.6486486486486487,0.001183151916706105,PIT,2017-09-10,reg,CLE,PIT,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091003/2017091003_gtd.json,18,21,1,21
10,2017091004,2797,309,451.0,120.0,4.0,15.0,6.0,9.0,3.0,1.0,1.0,27.0,18.0,50.0,1.0,1.0,0.54,0.0014194464158978,ARI,2017-09-10,reg,DET,ARI,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091004/2017091004_gtd.json,35,23,0,23
11,2017091004,1763,367,317.0,88.0,3.0,15.0,8.0,8.0,1.0,0.0,0.0,29.0,28.0,44.0,0.0,4.0,0.6590909090909091,0.0018917001655237645,DET,2017-09-10,reg,DET,ARI,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091004/2017091004_gtd.json,35,23,1,35
12,2017091005,2084,203,310.0,63.0,4.0,11.0,5.0,7.0,1.0,0.0,0.0,19.0,23.0,46.0,0.0,1.0,0.41304347826086957,0.001183151916706105,HOU,2017-09-10,reg,HOU,JAX,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091005/2017091005_gtd.json,7,29,0,7
13,2017091005,2443,280,173.0,58.0,7.0,8.0,3.0,9.0,0.0,1.0,1.0,11.0,39.0,21.0,1.0,1.0,0.5238095238095238,0.0007102272727272727,JAX,2017-09-10,reg,HOU,JAX,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091005/2017091005_gtd.json,7,29,1,29
14,2017091007,2637,359,197.0,138.0,5.0,16.0,5.0,7.0,0.0,1.0,1.0,22.0,29.0,34.0,0.0,2.0,0.6470588235294118,0.001183151916706105,OAK,2017-09-10,reg,TEN,OAK,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091007/2017091007_gtd.json,16,26,1,26
15,2017091007,2679,350,375.0,70.0,5.0,15.0,7.0,7.0,0.0,0.0,0.0,25.0,21.0,42.0,1.0,0.0,0.5952380952380952,0.0016556291390728477,TEN,2017-09-10,reg,TEN,OAK,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091007/2017091007_gtd.json,16,26,0,16
16,2017091008,1852,356,401.0,140.0,1.0,17.0,8.0,6.0,1.0,0.0,0.0,26.0,24.0,41.0,0.0,2.0,0.6341463414634146,0.0018917001655237645,PHI,2017-09-10,reg,WAS,PHI,1,2017,POST,http://www.nfl.com/liveupdate/game-center/2017091008/2017091008_gtd.json,17,30,1,30
