,receiver_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
178,M.Sanu,0,10,8.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
181,J.Jones,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
184,J.Jones,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
187,N.Boyle,0,25,5.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0
188,N.Boyle,0,11,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
191,J.Brown,0,29,27.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
192,M.Crabtree,0,0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0
193,M.Andrews,0,11,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
196,N.Boyle,0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,L.McCoy,0,0,-8.0,,0.0,0.0,0.0,0.0,0.0,0.0
206,M.Crabtree,0,0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0
207,W.Snead,0,0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0
209,J.Kerley,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
210,J.Kerley,0,3,-7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
211,K.Benjamin,0,0,22.0,,0.0,0.0,0.0,0.0,0.0,0.0
214,M.Crabtree,0,0,13.0,,0.0,0.0,0.0,0.0,0.0,0.0
216,W.Snead,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
217,M.Andrews,0,12,5.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
219,W.Snead,0,4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,J.Allen,0,11,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
221,M.Williams,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,J.Brown,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
223,J.Brown,1,7,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
233,N.Boyle,0,0,-5.0,,0.0,0.0,0.0,0.0,0.0,0.0
235,N.Boyle,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
238,J.Kerley,0,4,-1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
240,K.Benjamin,0,0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0
241,Z.Jones,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
245,N.Boyle,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0
249,K.Benjamin,0,0,28.0,,0.0,0.0,0.0,0.0,0.0,0.0
255,M.Williams,0,7,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
256,J.Allen,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,C.Moore,0,5,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
260,K.Benjamin,0,10,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
261,M.Murphy,0,0,5.0,,0.0,0.0,0.0,0.0,0.0,0.0
262,K.Benjamin,0,0,26.0,,0.0,0.0,0.0,0.0,0.0,0.0
263,J.Allen,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
265,J.Allen,0,4,-2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
