,rusher_player_name,receiver_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
78,,D.Freeman,0,7,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
79,,J.Jones,0,0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0
80,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
81,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
82,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
83,,M.Wallace,0,0,41.0,,0.0,0.0,0.0,0.0,0.0,0.0
84,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
85,,M.Wallace,0,0,22.0,,0.0,0.0,0.0,0.0,0.0,0.0
86,,D.Sproles,0,4,-4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
87,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
88,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
89,N.Foles,,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
90,,,0,0,,,,,,,,
91,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
92,,Z.Ertz,0,8,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
93,J.Ajayi,,0,3,,,1.0,0.0,0.0,0.0,0.0,0.0
94,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
95,C.Clement,,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
96,,N.Agholor,0,0,19.0,,0.0,0.0,0.0,0.0,0.0,0.0
97,,N.Agholor,0,0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
98,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
99,D.Freeman,,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
100,,J.Jones,0,4,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
101,,J.Jones,0,0,44.0,,0.0,0.0,0.0,0.0,0.0,0.0
102,,,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
103,,J.Jones,0,6,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
105,,D.Goedert,0,4,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
106,,Z.Ertz,0,5,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
107,J.Ajayi,,0,8,,,1.0,0.0,0.0,0.0,0.0,0.0
108,,N.Agholor,0,0,3.0,,0.0,0.0,0.0,0.0,0.0,0.0
109,J.Ajayi,,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
110,,N.Foles,0,15,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
111,,Z.Ertz,0,0,6.0,,0.0,0.0,0.0,0.0,0.0,0.0
112,J.Ajayi,,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
113,,Z.Ertz,0,18,10.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0
114,D.Sproles,,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
115,J.Ajayi,,1,1,,,1.0,0.0,0.0,1.0,0.0,1.0
116,,,1,0,,,0.0,0.0,0.0,0.0,0.0,0.0
117,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
118,T.Coleman,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
119,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
120,,A.Hooper,0,15,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
121,,J.Jones,0,0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0
122,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
123,J.Ajayi,,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
124,,Z.Ertz,0,0,4.0,,0.0,0.0,0.0,0.0,0.0,0.0
125,,Z.Ertz,0,0,9.0,,0.0,0.0,0.0,0.0,0.0,0.0
126,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
127,D.Freeman,,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
128,,J.Jones,0,0,48.0,,0.0,0.0,0.0,0.0,0.0,0.0
129,,E.Saubert,0,0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
130,,,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
131,,J.Jones,0,0,-4.0,,0.0,0.0,0.0,0.0,0.0,0.0
132,,M.Sanu,0,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,,,0,0,,,,,,,,
134,,,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
135,T.Coleman,,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
136,T.Coleman,,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
137,,J.Jones,0,0,11.0,,0.0,0.0,0.0,0.0,0.0,0.0
