,rusher_player_name,sp,yards_gained,air_yards,yards_after_catch,first_down_rush,first_down_pass,fumble,touchdown,pass_touchdown,rush_touchdown
331,K.Dixon,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
332,L.Jackson,0,7,,,1.0,0.0,0.0,0.0,0.0,0.0
333,K.Dixon,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
343,M.Murphy,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
346,K.Dixon,0,15,,,1.0,0.0,0.0,0.0,0.0,0.0
347,K.Dixon,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
348,L.Jackson,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
349,J.Allen,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
350,K.Dixon,0,3,,,1.0,0.0,0.0,0.0,0.0,0.0
351,K.Dixon,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
352,J.Allen,0,4,,,1.0,0.0,0.0,0.0,0.0,0.0
354,L.Jackson,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
355,K.Dixon,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
359,K.Dixon,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
360,L.Jackson,0,16,,,1.0,0.0,0.0,0.0,0.0,0.0
361,K.Dixon,1,2,,,1.0,0.0,0.0,1.0,0.0,1.0
365,C.Ivory,0,-2,,,0.0,0.0,0.0,0.0,0.0,0.0
368,L.Jackson,0,0,,,0.0,0.0,1.0,0.0,0.0,0.0
369,K.Dixon,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
371,K.Dixon,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
374,M.Murphy,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
382,M.Murphy,0,9,,,0.0,0.0,0.0,0.0,0.0,0.0
385,L.Fournette,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
387,C.Grant,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
388,L.Fournette,0,12,,,1.0,0.0,0.0,0.0,0.0,0.0
389,L.Fournette,0,6,,,0.0,0.0,0.0,0.0,0.0,0.0
392,L.Fournette,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
398,S.Barkley,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
400,S.Barkley,0,-3,,,0.0,0.0,0.0,0.0,0.0,0.0
406,S.Barkley,0,10,,,1.0,0.0,0.0,0.0,0.0,0.0
408,S.Barkley,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
411,S.Barkley,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
412,S.Barkley,0,-4,,,0.0,0.0,0.0,0.0,0.0,0.0
413,O.Beckham,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
416,L.Fournette,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
418,L.Fournette,0,6,,,1.0,0.0,0.0,0.0,0.0,0.0
419,L.Fournette,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
420,B.Bortles,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
423,L.Fournette,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
425,T.Yeldon,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
428,L.Fournette,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
441,T.Yeldon,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
442,T.Yeldon,0,15,,,1.0,0.0,0.0,0.0,0.0,0.0
446,S.Barkley,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
454,S.Barkley,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
466,S.Barkley,0,8,,,0.0,0.0,0.0,0.0,0.0,0.0
467,S.Barkley,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
470,S.Barkley,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
471,W.Gallman,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
473,S.Barkley,0,2,,,1.0,0.0,0.0,0.0,0.0,0.0
480,T.Yeldon,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
481,T.Yeldon,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
484,S.Barkley,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
487,S.Barkley,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
489,T.Yeldon,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
494,J.Stewart,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
501,B.Bortles,0,41,,,1.0,0.0,0.0,0.0,0.0,0.0
503,T.Yeldon,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
508,S.Barkley,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
517,T.Yeldon,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
521,S.Barkley,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
525,S.Barkley,1,68,,,1.0,0.0,0.0,1.0,0.0,1.0
526,S.Barkley,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
530,T.Yeldon,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
534,E.Manning,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
538,T.Yeldon,0,7,,,0.0,0.0,0.0,0.0,0.0,0.0
539,T.Yeldon,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
547,S.Barkley,0,1,,,0.0,0.0,0.0,0.0,0.0,0.0
550,J.Stewart,0,4,,,0.0,0.0,0.0,0.0,0.0,0.0
554,T.Yeldon,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
556,T.Yeldon,0,2,,,0.0,0.0,0.0,0.0,0.0,0.0
558,T.Yeldon,0,0,,,0.0,0.0,0.0,0.0,0.0,0.0
561,B.Bortles,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
562,B.Bortles,0,-1,,,0.0,0.0,0.0,0.0,0.0,0.0
569,T.Ginn,0,5,,,0.0,0.0,0.0,0.0,0.0,0.0
570,A.Kamara,0,3,,,0.0,0.0,0.0,0.0,0.0,0.0
