,game_id,game_date,week,home_team,predicted_home_score,away_team,predicted_away_score,predicted_spread,vegas_line_home,bets,total_home_score,total_away_score,win_bet
0,2019120500,2019-12-05,14,CHI,21.794416111439194,DAL,22.01262769574986,0.21821158431066576,3.0,CHI,31,24,1.0
1,2019120800,2019-12-08,14,ATL,24.128088313754397,CAR,17.33392047290896,-6.7941678408454385,-2.5,ATL,40,20,1.0
2,2019120808,2019-12-08,14,TB,21.635516078343905,IND,19.706723562487163,-1.9287925158567492,-2.5,--,38,35,
3,2019120807,2019-12-08,14,NYJ,27.524860515469946,MIA,17.91700197330107,-9.607858542168877,-5.5,NYJ,22,21,0.0
4,2019120806,2019-12-08,14,NO,20.923600273238467,SF,21.39822229520855,0.4746220219700845,-2.5,SF,46,45,1.0
5,2019120805,2019-12-08,14,MIN,24.60732625579936,DET,23.453660057301345,-1.1536661984980157,-13.0,DET,20,7,0.0
6,2019120804,2019-12-08,14,HOU,22.62350399159431,DEN,18.782406596700913,-3.841097394893396,-9.0,DEN,24,38,1.0
7,2019120801,2019-12-08,14,BUF,20.10883795688784,BAL,25.494146448090657,5.385308491202822,5.5,--,17,24,
8,2019120802,2019-12-08,14,CLE,25.876101772014433,CIN,15.71909567714584,-10.157006094868592,-8.5,--,27,19,
9,2019120803,2019-12-08,14,GB,19.774357942746143,WAS,19.577765531891576,-0.1965924108545707,-13.0,WAS,20,15,1.0
10,2019120809,2019-12-08,14,JAX,14.504984526338422,LAC,27.34746728996632,12.8424827636279,3.0,LAC,10,45,1.0
11,2019120810,2019-12-08,14,ARI,16.79257735043026,PIT,24.23815509794452,7.445577747514263,2.5,PIT,17,23,1.0
12,2019120812,2019-12-08,14,OAK,23.089075581597253,TEN,26.40722099240984,3.3181454108125834,2.5,--,21,42,
13,2019120811,2019-12-08,14,NE,18.468987545139534,KC,24.657124903268947,6.188137358129411,-3.0,KC,16,23,1.0
14,2019120813,2019-12-08,14,LA,20.750110370753085,SEA,24.48953857289364,3.739428202140545,1.5,--,28,12,
15,2019120900,2019-12-09,14,PHI,23.116716590835352,NYG,17.914721837493037,-5.201994753342311,-8.5,NYG,23,17,1.0
