,game_id,game_date,week,home_team,predicted_home_score,away_team,predicted_away_score,predicted_spread,vegas_line_home,bets,total_home_score,total_away_score,win_bet
0,2019100300,2019-10-03,5,SEA,22.90593537,LA,20.57936995,-2.3265654159999998,-1.5,--,30,29,
1,2019100600,2019-10-06,5,CAR,22.76597069,JAX,15.36303821,-7.40293248,-3.5,CAR,34,27,1.0
2,2019100609,2019-10-06,5,WAS,5.190239905,NE,26.54231424,21.35207434,16.0,NE,7,33,1.0
3,2019100608,2019-10-06,5,TEN,15.50575702,BUF,24.77957913,9.273822116,-3.0,BUF,7,14,1.0
4,2019100607,2019-10-06,5,PIT,24.44615111,BAL,19.36155293,-5.084598173,3.5,PIT,23,23,1.0
5,2019100601,2019-10-06,5,CIN,17.72894637,ARI,21.24775268,3.518806316,-3.0,ARI,23,23,1.0
6,2019100602,2019-10-06,5,HOU,20.21132857,ATL,21.68272101,1.471392438,-4.0,ATL,53,32,0.0
7,2019100603,2019-10-06,5,NO,20.28386254,TB,26.27062333,5.986760782,-3.0,TB,31,24,0.0
8,2019100604,2019-10-06,5,NYG,22.58643169,MIN,20.00849028,-2.57794141,5.0,NYG,10,28,0.0
9,2019100605,2019-10-06,5,OAK,16.38856108,CHI,24.09081109,7.702250014,5.5,--,24,21,
10,2019100606,2019-10-06,5,PHI,25.39559771,NYJ,20.37553402,-5.0200636869999995,-14.0,NYJ,31,6,0.0
11,2019100610,2019-10-06,5,LAC,22.81476266,DEN,21.50617663,-1.308586025,-6.0,DEN,13,20,1.0
12,2019100611,2019-10-06,5,DAL,24.90518939,GB,17.98091284,-6.924276558,-3.5,DAL,24,34,0.0
13,2019100612,2019-10-06,5,KC,27.02663365,IND,24.12107403,-2.9055596219999997,-11.0,IND,13,19,1.0
14,2019100700,2019-10-07,5,SF,26.24985462,CLE,23.77672768,-2.473126935,-4.0,--,31,3,
