,game_id,game_date,week,home_team,predicted_home_score,away_team,predicted_away_score,predicted_spread,vegas_line_home,bets,total_home_score,total_away_score,win_bet
0,2019102400,10/24/19,8,MIN,25.31420203,WAS,14.32807214,-10.98612989,-16.5,WAS,19,9,1
1,2019102700,10/27/19,8,ATL,22.60608778,SEA,30.03780391,7.431716125,,--,20,27,
2,2019102708,10/27/19,8,TEN,24.98690165,TB,22.93092181,-2.055979844,-2.5,--,27,23,
3,2019102707,10/27/19,8,NO,23.71830398,ARI,20.5147733,-3.203530684,-10.5,ARI,31,9,0
4,2019102706,10/27/19,8,LA,26.13658439,CIN,21.26924389,-4.867340502,-13,CIN,24,10,0
5,2019102705,10/27/19,8,JAX,25.6132134,NYJ,14.60410456,-11.00910884,-6,JAX,29,15,1
6,2019102701,10/27/19,8,BUF,21.69384985,PHI,20.8969465,-0.796903348,-1.5,--,13,31,
7,2019102702,10/27/19,8,CHI,19.79360454,LAC,22.31175775,2.518153207,-4,LAC,16,17,1
8,2019102703,10/27/19,8,DET,24.26318098,NYG,24.02265111,-0.240529863,-7,NYG,31,26,1
9,2019102704,10/27/19,8,HOU,28.70022976,OAK,24.94401141,-3.756218346,-6.5,OAK,27,24,1
10,2019102709,10/27/19,8,SF,23.66924783,CAR,19.86054014,-3.808707689,-5.5,--,51,13,
11,2019102711,10/27/19,8,NE,27.00537062,CLE,14.89729801,-12.10807261,-13,--,27,13,
12,2019102710,10/27/19,8,IND,22.03637253,DEN,21.30151461,-0.734857916,-5.5,DEN,15,13,1
13,2019102712,10/27/19,8,KC,26.92126396,GB,27.2740316,0.352767645,4,KC,24,31,
14,2019102800,10/28/19,8,PIT,24.11424805,MIA,16.84491118,-7.269336868,-14,MIA,27,14,1
