,game_id,game_date,week,home_team,predicted_home_score,away_team,predicted_away_score,predicted_spread,vegas_line_home,bets,total_home_score,total_away_score,win_bet
0,2019091900,2019-09-19,3,JAX,14.13,TEN,16.37,2.24,,--,20,7,
1,2019092200,2019-09-22,3,BUF,25.76,CIN,17.64,-8.12,-6.0,--,21,17,
2,2019092207,2019-09-22,3,PHI,17.03,DET,17.47,0.45,-6.0,DET,24,27,1.0
3,2019092206,2019-09-22,3,NE,31.73,NYJ,15.94,-15.8,-22.0,NYJ,30,14,1.0
4,2019092205,2019-09-22,3,MIN,23.31,OAK,16.89,-6.42,-9.0,OAK,34,14,0.0
5,2019092204,2019-09-22,3,KC,22.71,BAL,22.17,-0.54,-5.5,BAL,33,28,1.0
6,2019092203,2019-09-22,3,IND,22.02,ATL,20.82,-1.2,-1.5,--,27,24,
7,2019092202,2019-09-22,3,GB,20.46,DEN,20.49,0.03,-7.5,DEN,27,16,0.0
8,2019092201,2019-09-22,3,DAL,28.75,MIA,15.53,-13.22,-22.5,MIA,31,6,0.0
9,2019092209,2019-09-22,3,TB,25.05,NYG,21.53,-3.52,-6.5,NYG,31,32,1.0
10,2019092208,2019-09-22,3,ARI,19.02,CAR,24.0,4.98,-2.0,CAR,20,38,1.0
11,2019092212,2019-09-22,3,SF,23.4,PIT,23.04,-0.36,-6.5,PIT,24,20,1.0
12,2019092211,2019-09-22,3,SEA,25.78,NO,20.17,-5.61,-4.5,--,27,33,
13,2019092210,2019-09-22,3,LAC,20.69,HOU,19.51,-1.18,-3.0,--,20,27,
14,2019092213,2019-09-22,3,CLE,20.54,LA,20.77,0.23,3.0,CLE,13,20,0.0
15,2019092300,2019-09-23,3,WAS,11.66,CHI,20.58,8.92,4.0,CHI,15,31,1.0
